recordID,recordType,elapsedTime,PrivateKeySize,PublicKeySize,hashString,signatureSize
0852ece9-b9e5-4fd4-b1d6-262edfc77b1c,ECDSA_sign,30102,,,,
96aa9fa0-8868-4749-b835-72c64141cc4f,ECDSA_sign,29602,,,,
35896236-1b95-4608-ac58-2ed7557fadba,ECDSA_sign,29602,,,,
b55f8c6e-626b-4164-b5b5-306a0341080f,ECDSA_sign,30401,,,,
d61db717-b538-40aa-8561-a8576baf7350,ECDSA_sign,30502,,,,
15bbb150-d015-46c5-adb0-d657022631b9,ECDSA_sign,30302,,,,
b3cfa420-e1e5-45d2-bc7e-1ffd732e65bf,ECDSA_sign,30302,,,,
48c1ad55-b608-4cd4-8744-5ba0770d9709,ECDSA_sign,29702,,,,
b4dd0940-45f3-4809-915f-c25f01370aec,ECDSA_sign,30401,,,,
48f85960-b301-4308-a800-016742ac647e,Kyber_keygen_512,172010,,,,
a38067cb-8f1d-44ef-a243-caa2a26300c6,Kyber_keygen_512,166010,,,,
9fad420a-9071-4bdd-bb15-7b351b65bc0e,Kyber_keygen_512,173610,,,,
0dfeb96d-6828-495a-8b07-e2171afa99fe,Kyber_keygen_512,167609,,,,
dd5981d3-82fc-4cda-92f3-4167624a12b9,Kyber_keygen_512,164510,,,,
5c468571-4a20-4192-b524-ee6735dd74ae,Kyber_keygen_512,163709,,,,
4f8f0e97-b29a-43e5-bf70-78d7575f0397,Kyber_keygen_512,164709,,,,
44fcd13c-82a6-453e-bbd1-65d6482b0825,Kyber_keygen_512,171510,,,,
97607701-1b35-42f7-adee-bec7042f58f4,Kyber_keygen_512,164510,,,,
6ac15052-1539-4d2e-9e7e-c440729dd375,Kyber_keygen_512,179310,,,,
f6a422fb-cb16-415a-9ad4-ac8de08bb8c1,Kyber_encrypt_512,153509,,,,
8c9ce449-222d-4077-adc0-d3e712618f1f,Kyber_encrypt_512,143308,,,,
db0d64f2-75b1-44c4-adb9-6665bb92349c,Kyber_encrypt_512,131007,,,,
a4387110-ba65-4235-8ac3-3398b105df55,Kyber_encrypt_512,130408,,,,
63f056eb-56ac-41d9-8ba1-aa55cd1f88f8,Kyber_encrypt_512,130407,,,,
31f4b083-dd56-4037-9025-9aec88cf0043,Kyber_encrypt_512,134108,,,,
54e425b3-b57f-4012-a00b-eca57f2c9df6,Kyber_encrypt_512,130407,,,,
9751403c-fb29-432d-aa82-763bab886e2a,Kyber_encrypt_512,130708,,,,
2d6104d6-79d9-47e6-9076-2d3a7ff926f1,Kyber_encrypt_512,131207,,,,
294ef3e7-c9b2-420b-ae80-dd7076200289,Kyber_encrypt_512,152009,,,,
6dab8958-e15a-42db-9733-c6712d9999ad,Kyber_keygen_768,284416,,,,
1ee30e5e-3c5b-4e76-9823-5018c2bcb3da,Kyber_keygen_768,263715,,,,
3d8da716-dffe-4586-a09b-91f6642a503d,Kyber_keygen_768,274516,,,,
d884e59c-65ce-4a72-ac87-3af7e8a7a3bb,Kyber_keygen_768,307118,,,,
55e34721-0a88-49b7-83b2-3f1d2f64ea37,Kyber_keygen_768,302317,,,,
55c60ccf-f00a-484c-bce7-6b8deb95d41f,Kyber_keygen_768,354020,,,,
7c98c91b-6436-4222-9a05-d41db9843b3b,Kyber_keygen_768,447326,,,,
cffe6b75-b432-4a48-ae8c-4ead9959cb55,Kyber_keygen_768,879450,,,,
70f09b64-46e9-4846-8dca-e1c0a90207ce,Kyber_keygen_768,435224,,,,
d562cde1-f33b-48f1-8f47-1279953ea7d6,Kyber_keygen_768,384621,,,,
ca739926-056a-47a4-84d3-2ee05ef1655f,Kyber_encrypt_768,262615,,,,
5c003b67-0dd3-4f56-ace3-ccfd2f5c0ff5,Kyber_encrypt_768,270015,,,,
